"State legislation, Anti-Disability Hate Crime",,,,,
State,Legislation,Notes,Pros/Cons,,
Wisconsin,"Wisconsin Fair Employment Act; S 106.50, 52: public accomodations, housing accomodations","prohibits employment discrimination, more laws about accessibility, treatment of disabled persons within court, etc.",,,
Wyoming,"2021 Wyoming Statutes: Title 35 - Public Health and Safety, Chapter 13 - Facilities in Public Buildings for the Physically Handicapped, Article 2 - Protection and Rights of Blind and Disabled Persons","specified that disabled persons recieving public care/treatment after abuse, assault etc. decided by a community health boards",,,
"Washington, DC","DC Human Rights Act (nondiscrimination in employment, public accommodations)",,,,
,,,,,
"Federal legislation, Anti-Disability Hate Crime",,,,,
Legislation,,Notes,,,
"The Matthew Shepard and James Byrd, Jr Hate Crimes Prevention Act of 2009",,"Allows federal criminal prosecution of hate crimes. States that it is a federal crime to willfully cause injury because of victim's race, color, religion, disability. ",,,
Criminal Interference with Right to Fair Housing,,"Crime to use/threaten to use force to interfere with housing rights because of victim's race, color, religion, sex, disability, familial status, origin",,,
,,Different states vary in: 1. defining bias motivations 2. penalty enhancements 3. requiring data collection on hate crimes,,,
,,"Even if a state/territory does not have a hate crimes law, they still can be reported to the FBI",,,
Federal bias categories included by state laws (disability not included),,"Arkansas, Idaho, Kentucky, Michigan, Mississipi, Montana, North Carolina, North Dakota, Ohio, South Carolina, South Dakota, West Virginia, Wyoming",,,
18 U.S.C. § 241,,Prohibiting conspiracy to deprive another of federally-protected rights,,,
Definition of hate crime by FBI,,"""The Federal Bureau of Investigation (FBI) characterizes a hate crime as a criminal offense motivated, at least in part, by bias against the victim’s “race, religion, disability, sexual orientation, ethnicity, gender, or gender identity.""",,,
42 U.S.C. § 3631,,"Prohibiting, among other things, willful injury to, intimidation of, or interference with an individual because that person’s race, color, religion, sex, disability, familial status, or national origin and because of that person’s enjoyment of certain federally-protected housing rights;",,,W
18 U.S.C. § 249,,"18 U.S.C. § 249: Prohibiting willfully causing bodily injury to another because of actual or perceived race, color, religion, or national origin, gender, sexual orientation, gender identity, or disability.",,,
,,"The majority of bias-motivated crimes are prosecuted at the state and local level. Depending on the circumstances, federal prosecution of bias-motivated conduct also may be possible under a variety of statutes, including:",,,
,,"Congress may consider ways to further legislate to punish acts of bias-motivated crimes, and its authority to do so depends in part on the constitutional provision on which it relies",,,
